t,x,y,z
0,-2979.646,-5886.190,1802.357
30,-2829.488,-5904.759,1974.429
60,-2676.155,-5916.700,2144.278
90,-2519.818,-5922.001,2311.714
120,-2360.653,-5920.655,2476.548
150,-2198.838,-5912.664,2638.594
180,-2034.555,-5898.036,2797.671
210,-1867.989,-5876.789,2953.599
240,-1699.326,-5848.947,3106.202
270,-1528.757,-5814.540,3255.310
300,-1356.471,-5773.608,3400.754
330,-1182.664,-5726.197,3542.372
360,-1007.529,-5672.361,3680.003
390,-831.264,-5612.159,3813.493
420,-654.066,-5545.661,3942.692
450,-476.134,-5472.941,4067.455
480,-297.669,-5394.080,4187.642
510,-118.869,-5309.168,4303.117
540,60.064,-5218.301,4413.752
570,238.930,-5121.580,4519.422
600,417.528,-5019.114,4620.008
630,595.657,-4911.019,4715.398
660,773.119,-4797.417,4805.485
690,949.713,-4678.434,4890.167
720,1125.242,-4554.205,4969.350
750,1299.510,-4424.869,5042.945
780,1472.320,-4290.572,5110.869
810,1643.480,-4151.464,5173.047
840,1812.797,-4007.701,5229.408
870,1980.081,-3859.446,5279.890
900,2145.146,-3706.863,5324.436
930,2307.806,-3550.125,5362.997
960,2467.879,-3389.407,5395.528
990,2625.185,-3224.890,5421.994
1020,2779.549,-3056.758,5442.365
1050,2930.797,-2885.199,5456.618
1080,3078.759,-2710.407,5464.737
1110,3223.271,-2532.576,5466.713
1140,3364.169,-2351.906,5462.544
1170,3501.297,-2168.600,5452.235
1200,3634.500,-1982.864,5435.797
1230,3763.629,-1794.904,5413.249
1260,3888.539,-1604.933,5384.615
1290,4009.089,-1413.162,5349.929
1320,4125.146,-1219.807,5309.227
1350,4236.578,-1025.085,5262.558
1380,4343.261,-829.214,5209.971
1410,4445.074,-632.412,5151.527
1440,4541.903,-434.902,5087.291
1470,4633.640,-236.904,5017.335
1500,4720.182,-38.641,4941.737
1530,4801.430,159.666,4860.582
1560,4877.294,357.794,4773.960
1590,4947.688,555.520,4681.970
1620,5012.533,752.624,4584.714
1650,5071.757,948.883,4482.301
1680,5125.291,1144.079,4374.847
1710,5173.077,1337.991,4262.471
1740,5215.059,1530.401,4145.300
1770,5251.191,1721.095,4023.466
1800,5281.431,1909.859,3897.104
1830,5305.746,2096.479,3766.358
1860,5324.107,2280.747,3631.374
1890,5336.495,2462.456,3492.304
1920,5342.894,2641.401,3349.304
1950,5343.297,2817.382,3202.535
1980,5337.704,2990.202,3052.161
2010,5326.121,3159.666,2898.353
2040,5308.560,3325.584,2741.283
2070,5285.042,3487.769,2581.127
2100,5255.591,3646.040,2418.066
2130,5220.242,3800.219,2252.284
2160,5179.034,3950.132,2083.966
2190,5132.014,4095.612,1913.303
2220,5079.233,4236.496,1740.487
2250,5020.752,4372.624,1565.711
2280,4956.636,4503.845,1389.174
2310,4886.957,4630.012,1211.073
2340,4811.794,4750.983,1031.609
2370,4731.231,4866.622,850.984
2400,4645.360,4976.800,669.401
2430,4554.276,5081.394,487.066
2460,4458.082,5180.287,304.182
2490,4356.887,5273.369,120.956
2520,4250.805,5360.535,-62.406
2550,4139.954,5441.688,-245.697
2580,4024.460,5516.738,-428.713
2610,3904.454,5585.601,-611.246
2640,3780.069,5648.201,-793.092
2670,3651.446,5704.469,-974.046
2700,3518.730,5754.342,-1153.906
2730,3382.070,5797.766,-1332.468
2760,3241.620,5834.692,-1509.533
2790,3097.538,5865.080,-1684.902
2820,2949.986,5888.898,-1858.378
2850,2799.129,5906.119,-2029.766
2880,2645.137,5916.726,-2198.874
2910,2488.184,5920.707,-2365.514
2940,2328.444,5918.060,-2529.498
2970,2166.099,5908.789,-2690.642
3000,2001.329,5892.905,-2848.767
3030,1834.320,5870.428,-3003.695
3060,1665.259,5841.383,-3155.254
3090,1494.336,5805.805,-3303.274
3120,1321.741,5763.734,-3447.589
